Class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2,-0.193287044763565,-0.966756820678711,-0.167395815253258,0.0958525761961937,0.684127569198608,0.723036468029022,-0.0470872670412064,-0.98491644859314,-0.166500106453896,0.998424351215363,-0.0557654462754726,0.00623713433742523,0.240729555487633,-0.93749338388443,-0.251307547092438,0.267307311296463,0.57989501953125,-0.769589900970459,0.0791692510247231,-0.979033648967743,-0.18768422305584,0.993601739406586,-0.112929299473763,-0.00162118545267731
2,-0.0906811356544495,-0.969174563884735,-0.229079887270927,0.140524759888649,0.980303406715393,0.13877335190773,-0.0563014559447765,-0.983102440834045,-0.174183011054993,0.998386383056641,-0.0557547770440578,0.0107756601646543,0.0731397867202759,-0.95323634147644,-0.293242275714874,0.256478577852249,0.965624868869781,0.0422763340175152,0.073150597512722,-0.975235998630524,-0.208719506859779,0.991649389266968,-0.128829479217529,-0.005865637678653
2,-0.197102248668671,-0.969725966453552,-0.144160494208336,-0.00545761222019792,0.643302381038666,0.765592753887177,-0.0556465797126293,-0.984543979167938,-0.16606231033802,0.997869074344635,-0.0639929249882698,0.0127364750951529,0.0964943394064903,-0.985699772834778,-0.138147845864296,0.104063980281353,0.873691737651825,-0.475219517946243,0.0730707719922066,-0.977856636047363,-0.196104645729065,0.991883933544159,-0.127110496163368,-0.00302336807362735
2,-0.102130599319935,-0.976967394351959,-0.18736058473587,0.205013155937195,0.923208177089691,0.32504802942276,-0.0569278039038181,-0.984818816184998,-0.163985446095467,0.99785190820694,-0.0653092637658119,0.00513022346422076,0.107958436012268,-0.952697277069092,-0.284100204706192,0.321218580007553,0.943623423576355,-0.0799589529633522,0.0756001174449921,-0.978321313858032,-0.192800641059875,0.991148471832275,-0.13263002038002,-0.005823889747262
2,-0.230302423238754,-0.958308815956116,-0.169130012392998,0.264373809099197,0.2704037129879,0.925736606121063,-0.0538065992295742,-0.985176384449005,-0.162887617945671,0.998293519020081,-0.0579593703150749,0.00712998863309622,0.246275678277016,-0.930551588535309,-0.270965069532394,0.406420081853867,0.51111501455307,-0.75735342502594,0.0754178464412689,-0.979088187217712,-0.188940271735191,0.992613554000854,-0.121301591396332,-0.00206626835279167
3,-0.162293672561646,-0.974077582359314,-0.157587364315987,-0.349035888910294,0.740941762924194,0.573741495609283,-0.118825770914555,-0.975270509719849,-0.186354234814644,0.99633115530014,-0.0852419957518578,0.00761255202814937,0.0564740523695946,-0.989306747913361,-0.134472519159317,-0.274731874465942,0.954824924468994,0.113278307020664,0.0502981655299664,-0.986882209777832,-0.153406456112862,0.996303498744965,-0.0790403932332993,-0.03364522382617
3,-0.157395452260971,-0.953677773475647,-0.2563696205616,-0.350501090288162,0.601530909538269,0.717850685119629,-0.121305152773857,-0.975383937358856,-0.184149697422981,0.996260344982147,-0.0856233462691307,0.01158148329705,0.123421333730221,-0.864301085472107,-0.487596899271011,-0.0541379824280739,0.978693962097168,-0.198058605194092,0.0513772591948509,-0.987189292907715,-0.151055231690407,0.99689131975174,-0.0740464329719543,-0.0269231386482716
3,-0.0165484230965376,-0.75274646282196,-0.658102512359619,0.0343926511704922,0.978946149349213,0.201200157403946,-0.1002302095294,-0.977159261703491,-0.187386363744736,0.995553612709045,-0.0897715985774994,0.0285298954695463,0.124291822314262,-0.820364534854889,-0.558169841766357,-0.0510573536157608,0.938051462173462,-0.342713505029678,0.0709568411111832,-0.988301277160645,-0.1350027769804,0.997845709323883,-0.0655898898839951,-0.00143335794564337
3,-0.230125576257706,-0.919604599475861,-0.318385720252991,-0.331543147563934,0.816298305988312,0.473007649183273,-0.122378267347813,-0.976643621921539,-0.176609203219414,0.996767997741699,-0.080137200653553,0.00561812240630388,0.161697432398796,-0.965624213218689,-0.203528225421906,-0.300652712583542,0.937274396419525,-0.176421627402306,0.0449520498514175,-0.988465845584869,-0.144619137048721,0.996991157531738,-0.071457713842392,-0.0300412140786648
3,-0.201942875981331,-0.947342991828918,-0.248516097664833,-0.330997139215469,0.45955890417099,0.824164152145386,-0.123551867902279,-0.974770367145538,-0.185896873474121,0.996346294879913,-0.0845305472612381,0.0121900718659163,0.169869527220726,-0.881902515888214,-0.439763814210892,-0.0910521000623703,0.954725921154022,-0.283210128545761,0.0502294190227985,-0.987987458705902,-0.14614275097847,0.996992588043213,-0.0732713341712952,-0.0252417605370283
4,-0.489529311656952,-0.281607091426849,-0.825262725353241,-0.428628325462341,0.836677432060242,0.340952515602112,-0.0342285670340061,-0.987039625644684,-0.156784117221832,0.996231257915497,-0.0854957774281502,0.0146190337836742,0.406601965427399,-0.383920729160309,-0.829023361206055,-0.512222290039063,0.846205711364746,-0.146847456693649,0.0465291477739811,-0.981342911720276,-0.18655064702034,0.989238321781158,-0.146300956606865,-0.00192320544738322
4,-0.468021631240845,-0.0232162792235613,-0.883412003517151,-0.473016798496246,0.858907580375671,0.196298062801361,-0.0416882075369358,-0.986541509628296,-0.158107325434685,0.995740354061127,-0.0908061638474464,0.0159804150462151,0.471331655979156,-0.0953071191906929,-0.87679135799408,-0.462583839893341,0.878774881362915,-0.117349237203598,0.0426216796040535,-0.982717990875244,-0.180135428905487,0.990184664726257,-0.139758095145226,0.00145278824493289
4,0.19901280105114,-0.236978337168694,-0.950912773609161,-0.145309701561928,0.959727585315704,0.240433022379875,-0.034982942044735,-0.985895693302155,-0.163663908839226,0.996361613273621,-0.0833895057439804,0.0175981894135475,0.33445405960083,-0.360124856233597,-0.87089067697525,-0.466143310070038,0.865717172622681,-0.182330250740051,0.0629444718360901,-0.977919518947601,-0.199277281761169,0.986538410186768,-0.162590220570564,-0.0175056681036949
4,-0.576216578483582,-0.266086339950562,-0.772769391536713,-0.39526355266571,0.822639524936676,0.408694237470627,-0.045218650251627,-0.984741449356079,-0.168046236038208,0.995311379432678,-0.0955042392015457,0.0153053989633918,0.594698905944824,-0.457389265298843,-0.6611567735672,-0.513133227825165,0.829166412353516,-0.221759602427483,0.0536667443811893,-0.97983056306839,-0.192488819360733,0.987878262996674,-0.155230030417442,0.00032302996260114
4,-0.280593305826187,-0.0658960938453674,-0.95756208896637,-0.461490422487259,0.843207836151123,0.275730311870575,-0.0385567881166935,-0.984044790267944,-0.173693209886551,0.995164215564728,-0.0968927070498466,0.0161203201860189,0.51162052154541,-0.288598388433456,-0.809293150901794,-0.564795851707459,0.82008957862854,-0.0919710174202919,0.055683683604002,-0.978330433368683,-0.199421107769012,0.988050222396851,-0.15411664545536,0.00220658257603645
